"","Model","Trait","nsamples","variable","mean","sd"
"1","mRF","Cab",500,"Slpe",0.89249131075254,0.0225705913504604
"2","mRF","Cab",500,"Inte",5.00072446827879,1.16170713151555
"3","mRF","Cab",500,"Rsqr",0.980996374432172,0.00242311095120008
"4","mRF","Cab",500,"MAE",2.78900985888706,0.1739058521096
"5","mRF","Cab",500,"MAPE",0.072185447474664,0.00857795843802625
"6","mRF","Cab",500,"SMAPE",0.0735312044605727,0.00842928766427253
"7","mRF","Cab",500,"MSE",11.3215246967263,1.09544175707951
"8","mRF","Cab",500,"RMSE",3.3617002766688,0.160062279172895
"9","mRF","Cab",1500,"Slpe",0.957400087386465,0.00646068803134989
"10","mRF","Cab",1500,"Inte",1.91005481676573,0.355332038540484
"11","mRF","Cab",1500,"Rsqr",0.993780478265982,0.000530051294755298
"12","mRF","Cab",1500,"MAE",1.53664391355098,0.0908852190495952
"13","mRF","Cab",1500,"MAPE",0.0416479866123686,0.00479996894905197
"14","mRF","Cab",1500,"SMAPE",0.0425539506687923,0.00523816898491763
"15","mRF","Cab",1500,"MSE",4.30137299240945,0.403453699762742
"16","mRF","Cab",1500,"RMSE",2.07221399033202,0.0955390671511116
"17","mRF","Cab",3000,"Slpe",0.969033236790292,0.00575788028095357
"18","mRF","Cab",3000,"Inte",1.35953496598238,0.24902905502396
"19","mRF","Cab",3000,"Rsqr",0.995876775711499,0.000775398506683241
"20","mRF","Cab",3000,"MAE",1.22586022063782,0.0847185962023771
"21","mRF","Cab",3000,"MAPE",0.0328622762232248,0.00224864317269241
"22","mRF","Cab",3000,"SMAPE",0.0332984683221683,0.00229084773293077
"23","mRF","Cab",3000,"MSE",2.90579156756573,0.4651207795915
"24","mRF","Cab",3000,"RMSE",1.70037891776401,0.134643527459709
"25","mRF","Car",500,"Slpe",0.273534163274413,0.0290293194008374
"26","mRF","Car",500,"Inte",19.7030831618919,0.882778089573264
"27","mRF","Car",500,"Rsqr",0.619298875494903,0.0780254436518925
"28","mRF","Car",500,"MAE",2.21636533317961,0.244358443079985
"29","mRF","Car",500,"MAPE",0.0847030360210992,0.00969838065657785
"30","mRF","Car",500,"SMAPE",0.0831079882613118,0.00920467210710177
"31","mRF","Car",500,"MSE",7.72355751303684,1.66336976609696
"32","mRF","Car",500,"RMSE",2.76555702139066,0.306699923527933
"33","mRF","Car",1500,"Slpe",0.38539048399624,0.0234653327632628
"34","mRF","Car",1500,"Inte",16.6743231407159,0.578768680951506
"35","mRF","Car",1500,"Rsqr",0.721612445505771,0.0351587085855991
"36","mRF","Car",1500,"MAE",2.39896977853335,0.196768704828688
"37","mRF","Car",1500,"MAPE",0.0920651974918908,0.00800148187399613
"38","mRF","Car",1500,"SMAPE",0.0901238935566351,0.00742608275371536
"39","mRF","Car",1500,"MSE",9.6566850736374,1.54058970309746
"40","mRF","Car",1500,"RMSE",3.09954441829496,0.24877065907662
"41","mRF","Car",3000,"Slpe",0.413536120357235,0.0103738486804494
"42","mRF","Car",3000,"Inte",15.8992902332903,0.250293990409052
"43","mRF","Car",3000,"Rsqr",0.752460283296126,0.0298376969910233
"44","mRF","Car",3000,"MAE",2.44886595729802,0.186210231954648
"45","mRF","Car",3000,"MAPE",0.0945446615206085,0.00721056877582196
"46","mRF","Car",3000,"SMAPE",0.0934337274822909,0.00695544010630766
"47","mRF","Car",3000,"MSE",9.51311775019821,1.3230881756299
"48","mRF","Car",3000,"RMSE",3.07778471761727,0.224607942312252
"49","mRF","Cm",500,"Slpe",0.55976791213374,0.0365229194313484
"50","mRF","Cm",500,"Inte",0.00750072997754809,0.000620263886051602
"51","mRF","Cm",500,"Rsqr",0.758556821399782,0.0370681629483786
"52","mRF","Cm",500,"MAE",0.00183526225739452,0.000122127241114835
"53","mRF","Cm",500,"MAPE",0.114774011092686,0.00680750695016393
"54","mRF","Cm",500,"SMAPE",0.112416970228168,0.00670304314516103
"55","mRF","Cm",500,"MSE",5.13400912517479e-06,7.05609084516278e-07
"56","mRF","Cm",500,"RMSE",0.0022615580847623,0.000155580181984496
"57","mRF","Cm",1500,"Slpe",0.629782917051254,0.0245819106488031
"58","mRF","Cm",1500,"Inte",0.0062273391500739,0.000375432488812307
"59","mRF","Cm",1500,"Rsqr",0.779555005248125,0.020121684062681
"60","mRF","Cm",1500,"MAE",0.00194637753478602,0.000115187891964206
"61","mRF","Cm",1500,"MAPE",0.124785932669891,0.0058122132659211
"62","mRF","Cm",1500,"SMAPE",0.122830697260824,0.00560192584332017
"63","mRF","Cm",1500,"MSE",5.82864552815544e-06,5.5599291598482e-07
"64","mRF","Cm",1500,"RMSE",0.00241211017260414,0.000113853213476016
"65","mRF","Cm",3000,"Slpe",0.704175662533634,0.0162858529763174
"66","mRF","Cm",3000,"Inte",0.0049636931218301,0.000395024707978834
"67","mRF","Cm",3000,"Rsqr",0.822036353730194,0.0158919314202107
"68","mRF","Cm",3000,"MAE",0.00187623811328263,7.58181593081825e-05
"69","mRF","Cm",3000,"MAPE",0.12171768403206,0.00677795914095065
"70","mRF","Cm",3000,"SMAPE",0.119552075269621,0.00639522958469671
"71","mRF","Cm",3000,"MSE",5.56904975896525e-06,3.55351063732033e-07
"72","mRF","Cm",3000,"RMSE",0.00235891256009155,7.56744078899084e-05
"73","mRF","Cw",500,"Slpe",0.430139503528463,0.0157681190302497
"74","mRF","Cw",500,"Inte",0.00986974563948771,0.000378776455848
"75","mRF","Cw",500,"Rsqr",0.640559773211512,0.0324213597538422
"76","mRF","Cw",500,"MAE",0.0019041329376252,0.000127864234958558
"77","mRF","Cw",500,"MAPE",0.115923614021579,0.00603366977123833
"78","mRF","Cw",500,"SMAPE",0.112911076050703,0.00532231427606331
"79","mRF","Cw",500,"MSE",5.41151513414908e-06,6.42829670909712e-07
"80","mRF","Cw",500,"RMSE",0.00232278944543356,0.000142145727738888
"81","mRF","Cw",1500,"Slpe",0.413035956627924,0.0170917854574028
"82","mRF","Cw",1500,"Inte",0.0102085681327018,0.000294658343993487
"83","mRF","Cw",1500,"Rsqr",0.684947414348346,0.0195089185500819
"84","mRF","Cw",1500,"MAE",0.00165840379536598,7.9668636060238e-05
"85","mRF","Cw",1500,"MAPE",0.0999050759758221,0.00442557836343543
"86","mRF","Cw",1500,"SMAPE",0.0979158127947788,0.00399527198019853
"87","mRF","Cw",1500,"MSE",4.06371741236221e-06,3.56778531316576e-07
"88","mRF","Cw",1500,"RMSE",0.00201433943464284,8.77072859358159e-05
"89","mRF","Cw",3000,"Slpe",0.514594713368437,0.011201649565147
"90","mRF","Cw",3000,"Inte",0.00844100300010929,0.000135685316466276
"91","mRF","Cw",3000,"Rsqr",0.740533719095093,0.020743793758937
"92","mRF","Cw",3000,"MAE",0.00179901162671844,9.82923281848609e-05
"93","mRF","Cw",3000,"MAPE",0.109700469041576,0.00732470458201325
"94","mRF","Cw",3000,"SMAPE",0.106980116407403,0.00683772621090023
"95","mRF","Cw",3000,"MSE",4.83123655845477e-06,4.46373726517744e-07
"96","mRF","Cw",3000,"RMSE",0.00219610746090994,0.000102155387709502
"97","mRF","LAI",500,"Slpe",0.51791712948561,0.028051191630555
"98","mRF","LAI",500,"Inte",2.40547105000795,0.178007981505804
"99","mRF","LAI",500,"Rsqr",0.638130858595824,0.0481891074193518
"100","mRF","LAI",500,"MAE",0.847484763491981,0.0657574917567145
"101","mRF","LAI",500,"MAPE",0.236755687596368,0.0313667338189708
"102","mRF","LAI",500,"SMAPE",0.202847327586007,0.0223763790841131
"103","mRF","LAI",500,"MSE",1.01972683138252,0.14229624015724
"104","mRF","LAI",500,"RMSE",1.00785860408146,0.0702483590689086
"105","mRF","LAI",1500,"Slpe",0.57241223944262,0.0274857006743753
"106","mRF","LAI",1500,"Inte",2.13701833966575,0.106167233030907
"107","mRF","LAI",1500,"Rsqr",0.645557211094978,0.0149334894332005
"108","mRF","LAI",1500,"MAE",0.929791953734137,0.0360457356250253
"109","mRF","LAI",1500,"MAPE",0.31145954898,0.0107689246962704
"110","mRF","LAI",1500,"SMAPE",0.240815104534235,0.00878769560392696
"111","mRF","LAI",1500,"MSE",1.20713591704845,0.065240935543874
"112","mRF","LAI",1500,"RMSE",1.09837883561435,0.0295772404667784
"113","mRF","LAI",3000,"Slpe",0.605585750792425,0.0129043800772651
"114","mRF","LAI",3000,"Inte",1.97059485181456,0.0778701796617898
"115","mRF","LAI",3000,"Rsqr",0.665370002561923,0.0120642019348057
"116","mRF","LAI",3000,"MAE",0.945433716213127,0.0221045367404878
"117","mRF","LAI",3000,"MAPE",0.325693778781517,0.017240219154722
"118","mRF","LAI",3000,"SMAPE",0.248366623659648,0.00987551324456216
"119","mRF","LAI",3000,"MSE",1.24405966862234,0.0556166444250023
"120","mRF","LAI",3000,"RMSE",1.11515260229607,0.0248581529544277
"121","ann","Cab",300,"Slpe",0.984301741032757,0.015342801958189
"122","ann","Cab",300,"Inte",0.54990215652851,0.549779217096308
"123","ann","Cab",300,"Rsqr",0.988587854912195,0.0036904386472722
"124","ann","Cab",300,"MAE",2.17834157609477,0.407023789674064
"125","ann","Cab",300,"MAPE",0.0694359047814366,0.0153454565589416
"126","ann","Cab",300,"SMAPE",0.0712375578216972,0.016482853748199
"127","ann","Cab",300,"MSE",8.41265991026043,2.78066728290203
"128","ann","Cab",300,"RMSE",2.85992044072631,0.540271902582687
"129","ann","Cab",500,"Slpe",0.979926376466179,0.0276199888846597
"130","ann","Cab",500,"Inte",0.299175784620358,0.894595674611441
"131","ann","Cab",500,"Rsqr",0.979714638384907,0.00647681599681465
"132","ann","Cab",500,"MAE",2.86964798887065,0.597175737163205
"133","ann","Cab",500,"MAPE",0.469731038936891,0.778505304285519
"134","ann","Cab",500,"SMAPE",0.0995157236175765,0.033637941036011
"135","ann","Cab",500,"MSE",14.9247382689338,6.32012803333273
"136","ann","Cab",500,"RMSE",3.80618588109214,0.739668259685279
"137","ann","Cab",1500,"Slpe",0.984473733974,0.0159105657479511
"138","ann","Cab",1500,"Inte",0.208446534189155,1.04550368751892
"139","ann","Cab",1500,"Rsqr",0.987865209128237,0.004563314646888
"140","ann","Cab",1500,"MAE",2.19036660915098,0.417512578621398
"141","ann","Cab",1500,"MAPE",0.0967086643023797,0.080006456753831
"142","ann","Cab",1500,"SMAPE",0.0729531277947505,0.0231274275208777
"143","ann","Cab",1500,"MSE",8.93286795506688,3.46328611740624
"144","ann","Cab",1500,"RMSE",2.9436058193863,0.578848787618554
"145","ann","Car",300,"Slpe",0.951574780067479,0.00801282138613959
"146","ann","Car",300,"Inte",1.44338990079463,0.457912121795391
"147","ann","Car",300,"Rsqr",0.952732825865238,0.0147404214826625
"148","ann","Car",300,"MAE",1.95118715058396,0.251508505732059
"149","ann","Car",300,"MAPE",0.0964862103726307,0.0181397550722209
"150","ann","Car",300,"SMAPE",0.0902669364544735,0.0144833770686466
"151","ann","Car",300,"MSE",7.58288892843155,2.37891598728051
"152","ann","Car",300,"RMSE",2.72965556584892,0.406000954835042
"153","ann","Car",500,"Slpe",0.907273974260707,0.0134836051651123
"154","ann","Car",500,"Inte",2.47534263125702,0.36834486765866
"155","ann","Car",500,"Rsqr",0.915944503915776,0.00589254818551739
"156","ann","Car",500,"MAE",2.76207626141495,0.217916197352932
"157","ann","Car",500,"MAPE",0.128022381166114,0.0123752385645577
"158","ann","Car",500,"SMAPE",0.121862028029555,0.0119891665374598
"159","ann","Car",500,"MSE",12.7177433090582,1.18545811529745
"160","ann","Car",500,"RMSE",3.56307244502313,0.166801006348579
"161","ann","Car",1500,"Slpe",0.944814226143993,0.0288501175537728
"162","ann","Car",1500,"Inte",1.53195748826184,0.346011931949535
"163","ann","Car",1500,"Rsqr",0.941470596750264,0.0270690752982044
"164","ann","Car",1500,"MAE",2.2160928864504,0.510309642228709
"165","ann","Car",1500,"MAPE",0.10680836433939,0.0289697326478791
"166","ann","Car",1500,"SMAPE",0.0995068372952986,0.0221305520470708
"167","ann","Car",1500,"MSE",9.46686351422844,4.90768867507763
"168","ann","Car",1500,"RMSE",3.0093700617462,0.716375726918236
"169","ann","Cm",300,"Slpe",0.971354901818076,0.00676766970851184
"170","ann","Cm",300,"Inte",0.000360253350789049,0.000189746046289816
"171","ann","Cm",300,"Rsqr",0.983196738397745,0.00441295899621423
"172","ann","Cm",300,"MAE",0.000656587956420429,0.000114359922953294
"173","ann","Cm",300,"MAPE",0.0457941622264204,0.00730731855968732
"174","ann","Cm",300,"SMAPE",0.0459334437985706,0.00745121976566475
"175","ann","Cm",300,"MSE",8.4188918708953e-07,2.3927084934677e-07
"176","ann","Cm",300,"RMSE",0.000909771474865108,0.000133252817096372
"177","ann","Cm",500,"Slpe",0.967312421130325,0.0204207881074887
"178","ann","Cm",500,"Inte",0.00043956821552177,0.00063569561129479
"179","ann","Cm",500,"Rsqr",0.963753179878497,0.00704374472811587
"180","ann","Cm",500,"MAE",0.000998598363955407,6.51828205883057e-05
"181","ann","Cm",500,"MAPE",0.0743269631747853,0.00640888596715663
"182","ann","Cm",500,"SMAPE",0.0733295716238386,0.0056671672040418
"183","ann","Cm",500,"MSE",1.80274914478133e-06,2.27348125923381e-07
"184","ann","Cm",500,"RMSE",0.00134055470829207,8.41295047626403e-05
"185","ann","Cm",1500,"Slpe",0.977525613649859,0.0161784575143683
"186","ann","Cm",1500,"Inte",0.000511586993201791,0.00044842636610434
"187","ann","Cm",1500,"Rsqr",0.975298098752954,0.00886793232253917
"188","ann","Cm",1500,"MAE",0.000789915351875928,0.000155947672402453
"189","ann","Cm",1500,"MAPE",0.0546090019433998,0.00807842161586208
"190","ann","Cm",1500,"SMAPE",0.054563294809155,0.00805939487391819
"191","ann","Cm",1500,"MSE",1.26445154680163e-06,4.77540096920972e-07
"192","ann","Cm",1500,"RMSE",0.00110988917734572,0.000201858740250687
"193","ann","Cw",300,"Slpe",0.997386327833759,0.00947257492732992
"194","ann","Cw",300,"Inte",0.000106352937852139,0.000227986915332915
"195","ann","Cw",300,"Rsqr",0.984664083424118,0.0029405012118464
"196","ann","Cw",300,"MAE",0.000630573329329936,4.08621694737562e-05
"197","ann","Cw",300,"MAPE",0.0453242610696668,0.00452677374818114
"198","ann","Cw",300,"SMAPE",0.0454672238054918,0.00452835136208465
"199","ann","Cw",300,"MSE",8.01240978993877e-07,1.23627598042688e-07
"200","ann","Cw",300,"RMSE",0.000892875133714845,7.08429123799164e-05
"201","ann","Cw",500,"Slpe",0.977264422798126,0.018504188158802
"202","ann","Cw",500,"Inte",0.000502515685444022,0.000184161744222431
"203","ann","Cw",500,"Rsqr",0.970617646801079,0.00660272700394365
"204","ann","Cw",500,"MAE",0.000864276598718449,9.14956225812615e-05
"205","ann","Cw",500,"MAPE",0.0612347805011818,0.00683510428038608
"206","ann","Cw",500,"SMAPE",0.06172864407502,0.00730695273905783
"207","ann","Cw",500,"MSE",1.50078502909222e-06,3.27275082117505e-07
"208","ann","Cw",500,"RMSE",0.00121983650037452,0.000126411735245687
"209","ann","Cw",1500,"Slpe",0.976377374463396,0.0164123966691365
"210","ann","Cw",1500,"Inte",0.000391675025863373,0.000332075195705903
"211","ann","Cw",1500,"Rsqr",0.974621630226777,0.0059460123915228
"212","ann","Cw",1500,"MAE",0.000791073500602914,0.00012613301147451
"213","ann","Cw",1500,"MAPE",0.0561226242194635,0.00952830807802982
"214","ann","Cw",1500,"SMAPE",0.0556935723185138,0.00801560370357613
"215","ann","Cw",1500,"MSE",1.27803033004555e-06,2.53592013296485e-07
"216","ann","Cw",1500,"RMSE",0.00112621963955433,0.0001098843342319
"217","ann","LAI",300,"Slpe",0.902627198532391,0.0320209260069071
"218","ann","LAI",300,"Inte",0.412091565953262,0.0685176012897056
"219","ann","LAI",300,"Rsqr",0.918742832279012,0.0128935109048341
"220","ann","LAI",300,"MAE",0.522268022314583,0.0414207437015795
"221","ann","LAI",300,"MAPE",0.206639552855001,0.107202172642777
"222","ann","LAI",300,"SMAPE",0.129955853792282,0.0189787038677617
"223","ann","LAI",300,"MSE",0.482746905847198,0.0501815160116403
"224","ann","LAI",300,"RMSE",0.694028065136365,0.036605167843356
"225","ann","LAI",500,"Slpe",0.879913548688185,0.0523055999553598
"226","ann","LAI",500,"Inte",0.542209957983823,0.0828044701163371
"227","ann","LAI",500,"Rsqr",0.859838375174247,0.0213723509977503
"228","ann","LAI",500,"MAE",0.708544531260979,0.0623460760609093
"229","ann","LAI",500,"MAPE",0.181764068071202,0.0334417676611442
"230","ann","LAI",500,"SMAPE",0.163718533405601,0.0244060787470258
"231","ann","LAI",500,"MSE",0.843596766952682,0.130511087446909
"232","ann","LAI",500,"RMSE",0.916251911645969,0.0714072944259442
"233","ann","LAI",1500,"Slpe",0.894949712614725,0.0174166282549178
"234","ann","LAI",1500,"Inte",0.433829284996668,0.0919115140729721
"235","ann","LAI",1500,"Rsqr",0.907419763563847,0.0136075334866576
"236","ann","LAI",1500,"MAE",0.583581528587362,0.0897032434796434
"237","ann","LAI",1500,"MAPE",0.183485827568904,0.0662636014472193
"238","ann","LAI",1500,"SMAPE",0.148070488628835,0.0251121460658705
"239","ann","LAI",1500,"MSE",0.553286097358924,0.115083712392039
"240","ann","LAI",1500,"RMSE",0.740691496530955,0.0763397367500883
